countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Masvingo,subnational,2025-01-14,SURVEY,rcsi,1051576,0.6417766070871673
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-14,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-14,SURVEY,fcs,347214,0.4195300775954356
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-14,SURVEY,rcsi,534930,0.6463426716898697
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-14,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-14,SURVEY,fcs,281976,0.3708527050220623
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-14,SURVEY,rcsi,318162,0.4184442588561771
ZWE,Zimbabwe,Midlands,subnational,2025-01-14,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-14,SURVEY,fcs,588094,0.3245716669941299
ZWE,Zimbabwe,Midlands,subnational,2025-01-14,SURVEY,rcsi,1134314,0.6260328890870839
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-13,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-13,SURVEY,fcs,90435,0.1358005225696009
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-13,SURVEY,rcsi,284095,0.4266075021773733
ZWE,Zimbabwe,Harare,subnational,2025-01-13,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-13,SURVEY,fcs,483837,0.1993388290831156
ZWE,Zimbabwe,Harare,subnational,2025-01-13,SURVEY,rcsi,1367300,0.5633219059421747
ZWE,Zimbabwe,Manicaland,subnational,2025-01-13,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-13,SURVEY,fcs,655558,0.3217048899724306
ZWE,Zimbabwe,Manicaland,subnational,2025-01-13,SURVEY,rcsi,1268123,0.6223116340377336
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-13,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-13,SURVEY,fcs,577207,0.4167887581044284
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-13,SURVEY,rcsi,889857,0.6425465975300583
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-13,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-13,SURVEY,fcs,583035,0.3367845418821024
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-13,SURVEY,rcsi,877161,0.5066835876780071
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-13,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-13,SURVEY,fcs,493207,0.2604629965071415
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-13,SURVEY,rcsi,1067201,0.5635896699264566
ZWE,Zimbabwe,Masvingo,subnational,2025-01-13,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-13,SURVEY,fcs,484191,0.295501663372065
ZWE,Zimbabwe,Masvingo,subnational,2025-01-13,SURVEY,rcsi,1061583,0.6478838770392406
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-13,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-13,SURVEY,fcs,352121,0.4254590841757025
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-13,SURVEY,rcsi,532100,0.6429232527735959
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-13,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-13,SURVEY,fcs,275424,0.3622355641189197
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-13,SURVEY,rcsi,323627,0.4256317855710236
ZWE,Zimbabwe,Midlands,subnational,2025-01-13,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-13,SURVEY,fcs,583249,0.3218976901696996
ZWE,Zimbabwe,Midlands,subnational,2025-01-13,SURVEY,rcsi,1142382,0.630485653796992
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-12,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-12,SURVEY,fcs,87347,0.1311634681803165
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-12,SURVEY,rcsi,287183,0.4312445565666576
ZWE,Zimbabwe,Harare,subnational,2025-01-12,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-12,SURVEY,fcs,510031,0.21013064799941
ZWE,Zimbabwe,Harare,subnational,2025-01-12,SURVEY,rcsi,1337365,0.5509888106051024
ZWE,Zimbabwe,Manicaland,subnational,2025-01-12,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-12,SURVEY,fcs,640802,0.3144636125317873
ZWE,Zimbabwe,Manicaland,subnational,2025-01-12,SURVEY,rcsi,1254635,0.6156926078707916
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-12,SURVEY,total,1384891,0.4590193254072494
